plz,ort,lat,lon
01053,Kreisfreie Stadt Dresden,51.0562,13.7323
01054,Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,51.0376,13.7431
01055,Kreisfreie Stadt Dresden,51.0569,13.7287
01056,Finanzamt Dresden - Nord,51.0355,13.7404
01057,HUK-Coburg,51.0456,13.7387
01058,AOK Sachsen - Die Gesundheitskasse,51.0466,13.7268
01059,Kreisfreie Stadt Dresden,51.0826,13.7258
01060,Mitteldeutscher Rundfunk Landesfunkhaus Sachsen,51.1037,13.7709
01062,Technische Universität,51.0289,13.7239
01063,Kreisfreie Stadt Dresden,51.0334,13.7072
01064,Kreisfreie Stadt Dresden,51.0387,13.7327
01065,Kreisfreie Stadt Dresden,51.0387,13.7327
01067,Dresden,51.0547,13.7269
01069,Dresden,51.0430,13.7373
01070,Kreisfreie Stadt Dresden,51.0334,13.7072
01095,Ministerpräsident des Freistaates Sachsen,51.0573,13.7493
01097,Dresden,51.0714,13.7399
01099,Dresden,51.0783,13.8051
01108,Weixdorf,51.1557,13.7825
01109,Klotzsche,51.1164,13.7468
01127,Dresden,51.0790,13.7208
01129,Dresden,51.0967,13.7360
01139,Dresden,51.0836,13.6981
01156,"Dresden Gompitz, Roitzsch",51.0494,13.6214
01157,Dresden,51.0707,13.6729
01159,Dresden,51.0452,13.6996
01169,Dresden,51.0443,13.6738
01187,Dresden,51.0281,13.6943
01189,Dresden,51.0500,13.7500
01213,Agentur für Arbeit Dresden,51.0408,13.7198
01217,Dresden,51.0500,13.7500
01219,Dresden,51.0210,13.7679
01237,Dresden,51.0130,13.7988
01239,Dresden,51.0066,13.8089
01255,Kreisfreie Stadt Dresden,51.0533,13.7830
01257,Dresden,51.0114,13.8054
01259,Dresden,51.0500,13.7500
01264,Finanzamt Dresden - Süd,51.0355,13.7404
01277,Dresden,51.0426,13.7870
01279,Dresden Tolkewitz,51.0425,13.7801
01303,Kreisfreie Stadt Dresden,51.0536,13.7608
01304,Universitätsklinikum Carl Gustav Carus der TU Dresden,51.0517,13.7770
01305,Ostsächsische Sparkasse Dresden,51.0540,13.7588
01307,Dresden,51.0500,13.7500
01309,Dresden,51.0510,13.7783
01324,Dresden,51.0500,13.7500
01326,Dresden,51.0538,13.8155
01328,Dresden,51.0500,13.7500
